filename;tini;tfin;m_event_type;user;date_time_annotation;freqmin;freqmax
BCA_N_1_20220526_094749.wav;66,07199;66,3679;pilot whale whistle;Carles Gallardo;2022-06-29 12:47:15;8519,3602;12405,6512
BCA_N_1_20220526_094749.wav;67,24618;68,59535;pilot whale whistle;Carles Gallardo;2022-06-29 12:46:12;7894,9304;24062,1864
BCA_N_1_20220526_094749.wav;71,38793;71,76569;pilot whale whistle;Carles Gallardo;2022-06-29 12:49:46;9514,5985;15288,3212
BCA_N_1_20220526_094749.wav;201,1992;202,2866;pilot whale whistle;Carles Gallardo;2022-06-29 12:55:01;7828,4672;15799,2701
BCA_N_1_20220526_094749.wav;288,0246;289,0778;pilot whale whistle;Carles Gallardo;2022-06-29 12:57:41;7675,1825;15032,8467
BCA_N_1_20220526_094749.wav;296,4156;297,3686;pilot whale whistle;Carles Gallardo;2022-06-29 12:59:49;7930,6569;13295,6204
BCA_N_1_20220526_095259.wav;2,9818;3,59369;pilot whale whistle;Carles Gallardo;2022-06-29 13:04:42;5695,22696;9269,70233
BCA_N_1_20220526_095259.wav;99,28909;99,56169;pilot whale whistle;Carles Gallardo;2022-06-29 13:11:10;10429,5164;13105,1551
BCA_N_1_20220526_095259.wav;103,1135;103,9836;pilot whale whistle;Carles Gallardo;2022-06-29 13:13:12;7726,13481;13679,602
BCA_N_1_20220526_100319.wav;116,3115;116,6248;pilot whale whistle;Carles Gallardo;2022-06-29 13:45:31;7381,0447;8876,4827
BCA_N_1_20220526_100829.wav;30,2164;30,6754;pilot whale whistle;Carles Gallardo;2022-06-29 15:40:15;6935,39005;9502,224
BCA_N_1_20220526_100829.wav;30,4947;30,6427;pilot whale whistle;Carles Gallardo;2022-06-29 15:40:28;10357,8353;13158,0178
BCA_N_1_20220526_100829.wav;30,7066;31,4288;pilot whale whistle;Carles Gallardo;2022-06-29 15:41:04;7946,56706;12030,1665
BCA_N_1_20220526_100829.wav;33,007;33,9315;pilot whale whistle;Carles Gallardo;2022-06-29 14:22:40;8366,0755;16740,9615
BCA_N_1_20220526_100829.wav;38,4807;39,1277;pilot whale whistle;Carles Gallardo;2022-06-29 15:41:27;8024,34991;12457,9722
BCA_N_1_20220526_101339.wav;68,3502;68,5601;pilot whale whistle;Ramon Miralles;2022-06-30 13:49:25;12348,9964;12853,1022
BCA_N_1_20220526_101339.wav;68,7749;69,0376;pilot whale whistle;Ramon Miralles;2022-06-30 13:50:38;10165,9443;15705,8622
BCA_N_1_20220526_101339.wav;75,1388;75,4496;pilot whale clicks;Ramon Miralles;2022-06-30 13:51:13;6733,23449;9350,25091
BCA_N_1_20220526_102642.wav;61,09314;61,56461;pilot whale whistle;Ramon Miralles;2022-06-30 16:42:41;2984,91674;5901,77349
BCA_N_1_20220526_102642.wav;70,14576;70,42795;pilot whale whistle;Ramon Miralles;2022-06-30 16:45:22;4263,401;8077,38367
BCA_N_1_20220526_102642.wav;81,5061;82,3457;pilot whale EClicks;Ramon Miralles;2022-06-30 16:20:11;9803,00525;48791,6572
BCA_N_1_20220526_102642.wav;83,0356;83,4812;pilot whale EClicks;Ramon Miralles;2022-06-30 16:20:27;13804,773;23752,0244
BCA_N_1_20220526_102642.wav;83,7253;84,1287;pilot whale whistle;Ramon Miralles;2022-06-30 16:21:00;3450,33075;8123,57436
BCA_N_1_20220526_102642.wav;84,2366;84,5697;pilot whale whistle;Ramon Miralles;2022-06-30 16:21:20;4045,10721;9075,2167
BCA_N_1_20220526_102642.wav;88,46681;88,58381;pilot whale whistle;Ramon Miralles;2022-06-30 16:45:55;4749,25867;5891,02418
BCA_N_1_20220526_102642.wav;90,9807;91,2645;pilot whale whistle;Ramon Miralles;2022-06-30 16:24:54;4279,65328;6214,87226
BCA_N_1_20220526_102642.wav;92,6452;93,2295;pilot whale EClicks;Ramon Miralles;2022-06-30 16:26:21;6640,51095;48036,4964
BCA_N_1_20220526_102642.wav;94,1766;94,6446;pilot whale whistle;Ramon Miralles;2022-06-30 16:28:09;4577,35516;4902,11565
BCA_N_1_20220526_102642.wav;101,388;102,1168;pilot whale whistle;Ramon Miralles;2022-06-30 16:49:53;4690,86451;5234,66013
BCA_N_1_20220526_102400.wav;24,8825;25,0914;pilot whale EClicks;Carles Gallardo&Ramon Miralles;2022-06-30 15:41:57;5234,2609;42731,5237
BCA_N_1_20220526_105459.wav;0,0725351;1,88084;pilot whale EClicks;Carles Gallardo;2022-07-06 13:10:35;10875,9124;53357,6642
BCA_N_1_20220526_105459.wav;34,1124;37,0724;pilot whale EClicks;Carles Gallardo;2022-07-06 13:10:21;13065,6934;50729,927
BCA_N_1_20220526_105459.wav;40,4019;41,9284;pilot whale EClicks;Carles Gallardo;2022-07-06 13:11:09;8540,14599;59343,0657
BCA_N_1_20220526_104439.wav;17,1443;17,289;pilot whale buzz;Carles Gallardo;2022-07-05 09:52:11;1924,7263;27080,7482
BCA_N_1_20220526_104439.wav;20,952;21,0668;pilot whale buzz;Carles Gallardo;2022-07-05 09:21:59;3430,6569;53503,6496
BCA_N_1_20220526_104439.wav;28,8274;31,471;sperm whale EClicks;Carles Gallardo;2022-07-05 09:58:47;1982,5217;4907,41902
BCA_N_1_20220526_104439.wav;31,9329;34,4479;sperm whale EClicks;Carles Gallardo;2022-07-05 09:58:02;2101,4199;5145,21556
BCA_N_1_20220526_104439.wav;35,9937;38,3113;sperm whale EClicks;Carles Gallardo;2022-07-05 09:59:56;1673,3862;4217,80908
BCA_N_1_20220526_104439.wav;38,1862;40,8935;sperm whale EClicks;Carles Gallardo;2022-07-05 10:00:25;2553,2333;3932,45324
BCA_N_1_20220526_104439.wav;41,5158;44,0601;sperm whale EClicks;Carles Gallardo;2022-07-05 10:00:56;2672,1316;4526,94457
BCA_N_1_20220526_104439.wav;44,2003;47,0404;sperm whale EClicks;Carles Gallardo;2022-07-05 10:01:27;2148,9792;4550,72422
BCA_N_1_20220526_104439.wav;47,0867;49,9913;sperm whale EClicks;Carles Gallardo;2022-07-05 10:02:04;2553,2333;5858,60516
BCA_N_1_20220526_104439.wav;50,0876;52,8512;sperm whale EClicks;Carles Gallardo;2022-07-05 11:42:45;2310,1049;4658,64507
BCA_N_1_20220526_104439.wav;51,3793;51,5247;pilot whale buzz;Carles Gallardo;2022-07-05 09:24:23;1969,7765;25512,6597
BCA_N_1_20220526_104439.wav;53,107;55,5564;sperm whale EClicks;Carles Gallardo;2022-07-05 11:49:49;2499,8859;4587,47719
BCA_N_1_20220526_104439.wav;55,9429;58,0823;sperm whale EClicks;Carles Gallardo;2022-07-05 11:50:11;2523,6086;4729,81296
BCA_N_1_20220526_104439.wav;56,1055;56,2462;pilot whale buzz;Carles Gallardo;2022-07-05 09:28:29;2666,7427;7250,2281
BCA_N_1_20220526_104439.wav;59,0296;61,4871;sperm whale EClicks;Carles Gallardo;2022-07-05 11:50:36;2713,3896;4895,87135
BCA_N_1_20220526_104439.wav;61,8756;63,011;sperm whale EClicks;Carles Gallardo;2022-07-05 11:51:10;2737,1122;6034,55748
BCA_N_1_20220526_104439.wav;65,7018;68,394;pilot whale EClicks;Carles Gallardo;2022-07-05 12:01:07;4707,1738;14047,9585
BCA_N_1_20220526_104439.wav;68,2714;71,9158;pilot whale EClicks;Carles Gallardo;2022-07-05 12:03:09;4579,7787;19368,5561
BCA_N_1_20220526_104439.wav;72,1072;75,7992;pilot whale EClicks;Carles Gallardo;2022-07-05 12:10:55;4627,7943;19224,5096
BCA_N_1_20220526_104439.wav;75,9395;79,4789;pilot whale EClicks;Carles Gallardo;2022-07-05 12:11:46;3167,484;24242,4156
BCA_N_1_20220526_104439.wav;79,5336;83,3211;pilot whale EClicks;Carles Gallardo;2022-07-05 12:12:10;3239,9065;24894,2176
BCA_N_1_20220526_104439.wav;83,469;87,1611;pilot whale EClicks;Carles Gallardo;2022-07-05 12:12:33;3022,6391;23663,036
BCA_N_1_20220526_104439.wav;87,2804;91,106;pilot whale EClicks;Carles Gallardo;2022-07-05 12:13:08;3384,7514;25111,4849
BCA_N_1_20220526_104439.wav;91,1541;94,7977;pilot whale EClicks;Carles Gallardo;2022-07-05 12:13:30;3022,6391;24749,3727
BCA_N_1_20220526_104439.wav;94,8535;98,7461;pilot whale EClicks;Carles Gallardo;2022-07-05 12:13:50;3167,484;25328,7523
BCA_N_1_20220526_104439.wav;95,86192;95,99951;pilot whale buzz;Carles Gallardo;2022-07-05 13:22:30;1924,7263;24846,2591
BCA_N_1_20220526_104439.wav;97,93834;102,5445;pilot whale EClicks;Carles Gallardo;2022-07-05 14:01:16;2920,5064;26493,0429
BCA_N_1_20220526_104439.wav;102,1282;102,2975;pilot whale buzz;Carles Gallardo;2022-07-05 13:24:04;1996,8066;26648,2664
BCA_N_1_20220526_104439.wav;102,6009;107,5034;pilot whale EClicks;Carles Gallardo;2022-07-05 14:02:27;2920,5064;9500,57026
BCA_N_1_20220526_104439.wav;107,5592;112,4165;pilot whale EClicks;Carles Gallardo;2022-07-05 14:03:03;2920,5064;9934,42062
BCA_N_1_20220526_104439.wav;112,5629;117,3844;pilot whale EClicks;Carles Gallardo;2022-07-05 14:03:50;3209,74;9934,42062
BCA_N_1_20220526_104439.wav;117,4145;121,326;pilot whale EClicks;Carles Gallardo;2022-07-06 10:42:47;3339,4161;14689,781
