Id;UID;UTC;UTCMilliseconds;PCLocalTime;PCTime;ChannelBitmap;SequenceBitmap;GpsDate;GPSTime;Latitude;Longitude;Speed;SpeedType;Heading;HeadingType;TrueHeading;MagneticHeading;MagneticVariation;GPSError;DataStatus;FixType
1;20338;2022-05-27 06:27:19.240;240;2022-05-27 08:27:19.240;2022-05-27 06:27:19.241;0;NaN;2022-05-27 06:27:19.000;62719000;37.4073871666667;-0.606566833333333;7.10759292283245;N ;106.553264575607;T ;NaN;NaN;0.65386943286672;0;A  ;A  
2;20339;2022-05-27 06:27:21.183;183;2022-05-27 08:27:21.183;2022-05-27 06:27:21.187;0;NaN;2022-05-27 06:27:21.000;62721000;37.4073641666667;-0.606486166666667;7.35256689339726;N ;109.745402586087;T ;NaN;NaN;0.653889047706035;0;A  ;A  
3;20340;2022-05-27 06:27:24.241;241;2022-05-27 08:27:24.241;2022-05-27 06:27:24.246;0;NaN;2022-05-27 06:27:24.000;62724000;37.4073315;-0.606365333333333;7.30000588616096;N ;108.795510681211;T ;NaN;NaN;0.653918449421053;0;A  ;A  
4;20341;2022-05-27 06:27:30.155;155;2022-05-27 08:27:30.155;2022-05-27 06:27:30.158;0;NaN;2022-05-27 06:27:30.000;62730000;37.4072581666667;-0.606123166666667;7.4111857543082;N ;110.868129736358;T ;NaN;NaN;0.653977285358714;0;A  ;A  
5;20342;2022-05-27 06:27:31.178;178;2022-05-27 08:27:31.178;2022-05-27 06:27:31.181;0;NaN;2022-05-27 06:27:31.000;62731000;37.4072468333333;-0.606081166666667;7.61068212017703;N ;108.762930860638;T ;NaN;NaN;0.653987504919415;0;A  ;A  
6;20343;2022-05-27 06:27:33.222;222;2022-05-27 08:27:33.222;2022-05-27 06:27:33.227;0;NaN;2022-05-27 06:27:33.000;62733000;37.4072203333333;-0.606000666666667;7.47552812539532;N ;112.510281020863;T ;NaN;NaN;0.654007038813828;0;A  ;A  
7;20344;2022-05-27 06:27:34.236;236;2022-05-27 08:27:34.236;2022-05-27 06:27:34.241;0;NaN;2022-05-27 06:27:34.000;62734000;37.4072091666667;-0.605960333333333;7.32856968610094;N ;109.215546853099;T ;NaN;NaN;0.654016849724127;0;A  ;A  
8;20345;2022-05-27 06:27:35.155;155;2022-05-27 08:27:35.155;2022-05-27 06:27:35.157;0;NaN;2022-05-27 06:27:35.000;62735000;37.4071983333333;-0.605922333333333;6.92712535648642;N ;109.743044614244;T ;NaN;NaN;0.654026089718617;0;A  ;A  
9;20346;2022-05-27 06:27:39.238;238;2022-05-27 08:27:39.238;2022-05-27 06:27:39.240;0;NaN;2022-05-27 06:27:39.000;62739000;37.4071516666667;-0.605762;7.32453409539417;N ;110.123765412136;T ;NaN;NaN;0.654065064282571;0;A  ;A  
10;20347;2022-05-27 06:27:40.158;158;2022-05-27 08:27:40.158;2022-05-27 06:27:40.163;0;NaN;2022-05-27 06:27:40.000;62740000;37.4071398333333;-0.6057225;7.24326724050101;N ;110.663535263837;T ;NaN;NaN;0.654074662335613;0;A  ;A  
