Id;UID;UTC;UTCMilliseconds;PCLocalTime;PCTime;ChannelBitmap;SequenceBitmap;GpsDate;GPSTime;Latitude;Longitude;Speed;SpeedType;Heading;HeadingType;TrueHeading;MagneticHeading;MagneticVariation;GPSError;DataStatus;FixType
1;11144;2022-10-26 06:28:46.507;507;2022-10-26 06:28:46.507;2022-10-26 06:28:46.510;0;NaN;2022-10-26 06:28:47.000;62847000;37.3662736666667;-1.6076615;6.20230997419535;N ;97.3363784196751;T ;NaN;NaN;0.447850955069631;0;A  ;A  
2;11145;2022-10-26 06:28:47.173;173;2022-10-26 06:28:47.173;2022-10-26 06:28:47.174;0;NaN;2022-10-26 06:28:48.000;62848000;37.3662741666667;-1.60762516666667;6.23830562079892;N ;89.0080233805444;T ;NaN;NaN;0.447860217198469;0;A  ;A  
3;11146;2022-10-26 06:28:48.085;85;2022-10-26 06:28:48.085;2022-10-26 06:28:48.090;0;NaN;2022-10-26 06:28:49.000;62849000;37.3662725;-1.60758833333333;6.33344578186667;N ;93.2585111666252;T ;NaN;NaN;0.447869588139863;0;A  ;A  
4;11147;2022-10-26 06:28:50.131;131;2022-10-26 06:28:50.131;2022-10-26 06:28:50.137;0;NaN;2022-10-26 06:28:51.000;62851000;37.3662731666667;-1.607512;6.55249607584795;N ;89.370411048546;T ;NaN;NaN;0.447889043410671;0;A  ;A  
5;11148;2022-10-26 06:28:52.173;173;2022-10-26 06:28:52.173;2022-10-26 06:28:52.174;0;NaN;2022-10-26 06:28:53.000;62853000;37.36626;-1.60744066666667;6.28587970580692;N ;103.074706522998;T ;NaN;NaN;0.447907106787019;0;A  ;A  
6;11149;2022-10-26 06:28:53.097;97;2022-10-26 06:28:53.097;2022-10-26 06:28:53.098;0;NaN;2022-10-26 06:28:54.000;62854000;37.366251;-1.60740383333333;6.61529216875438;N ;107.089464610032;T ;NaN;NaN;0.44791641494195;0;A  ;A  
7;11150;2022-10-26 06:28:55.139;139;2022-10-26 06:28:55.139;2022-10-26 06:28:55.143;0;NaN;2022-10-26 06:28:56.000;62856000;37.3662393333333;-1.60732166666667;7.1644763429821;N ;100.129157023859;T ;NaN;NaN;0.447937250367524;0;A  ;A  
8;11151;2022-10-26 06:28:58.098;98;2022-10-26 06:28:58.098;2022-10-26 06:28:58.104;0;NaN;2022-10-26 06:28:59.000;62859000;37.366233;-1.60720133333333;6.90099024567275;N ;93.7887208418187;T ;NaN;NaN;0.447967856003669;0;A  ;A  
9;11152;2022-10-26 06:29:01.253;253;2022-10-26 06:29:01.253;2022-10-26 06:29:01.255;0;NaN;2022-10-26 06:29:02.000;62902000;37.3662305;-1.60708516666667;6.64991333937978;N ;91.5510728614074;T ;NaN;NaN;0.447997433029194;0;A  ;A  
10;11153;2022-10-26 06:29:03.077;77;2022-10-26 06:29:03.077;2022-10-26 06:29:03.082;0;NaN;2022-10-26 06:29:04.000;62904000;37.366232;-1.607006;6.79723525698281;N ;88.6343278032812;T ;NaN;NaN;0.448017616718024;0;A  ;A  
11;11154;2022-10-26 06:29:10.175;175;2022-10-26 06:29:10.175;2022-10-26 06:29:10.178;0;NaN;2022-10-26 06:29:11.000;62911000;37.366206;-1.60673733333333;6.63755659973097;N ;96.9423523375201;T ;NaN;NaN;0.448085848097745;0;A  ;A  
12;11155;2022-10-26 06:29:13.193;193;2022-10-26 06:29:13.193;2022-10-26 06:29:13.195;0;NaN;2022-10-26 06:29:14.000;62914000;37.3662041666667;-1.60661716666667;6.87764051066191;N ;91.0997241362802;T ;NaN;NaN;0.448116449104577;0;A  ;A  
13;11156;2022-10-26 06:29:14.120;120;2022-10-26 06:29:14.120;2022-10-26 06:29:14.124;0;NaN;2022-10-26 06:29:15.000;62915000;37.366207;-1.60658116666667;6.2103809636863;N ;84.3446272034171;T ;NaN;NaN;0.448125645939742;0;A  ;A  
14;11157;2022-10-26 06:29:15.137;137;2022-10-26 06:29:15.137;2022-10-26 06:29:15.143;0;NaN;2022-10-26 06:29:16.000;62916000;37.3662045;-1.6065405;7.00213688605656;N ;94.4230028983964;T ;NaN;NaN;0.44813598571875;0;A  ;A  
15;11158;2022-10-26 06:29:16.153;153;2022-10-26 06:29:16.153;2022-10-26 06:29:16.156;0;NaN;2022-10-26 06:29:17.000;62917000;37.3661986666667;-1.60649816666667;7.37582095719012;N ;99.8359898855149;T ;NaN;NaN;0.448146721455078;0;A  ;A  
16;11159;2022-10-26 06:29:17.065;65;2022-10-26 06:29:17.065;2022-10-26 06:29:17.071;0;NaN;2022-10-26 06:29:18.000;62918000;37.3661963333333;-1.60645633333333;7.19923068964277;N ;94.0144168583731;T ;NaN;NaN;0.448157359772985;0;A  ;A  
17;11160;2022-10-26 06:29:18.082;82;2022-10-26 06:29:18.082;2022-10-26 06:29:18.086;0;NaN;2022-10-26 06:29:19.000;62919000;37.3661958333333;-1.60642466666667;5.43731883478904;N ;91.1381254839664;T ;NaN;NaN;0.448165424347581;0;A  ;A  
18;11161;2022-10-26 06:29:22.160;160;2022-10-26 06:29:22.160;2022-10-26 06:29:22.166;0;NaN;2022-10-26 06:29:23.000;62923000;37.3661638333333;-1.60625833333333;7.34481608398117;N ;103.607419451126;T ;NaN;NaN;0.448207528729998;0;A  ;A  
19;11162;2022-10-26 06:29:23.076;76;2022-10-26 06:29:23.076;2022-10-26 06:29:23.077;0;NaN;2022-10-26 06:29:24.000;62924000;37.3661595;-1.60622966666667;5.00945664651883;N ;100.768812942458;T ;NaN;NaN;0.448214796353197;0;A  ;A  
20;11163;2022-10-26 06:29:28.165;165;2022-10-26 06:29:28.165;2022-10-26 06:29:28.167;0;NaN;2022-10-26 06:29:29.000;62929000;37.3661205;-1.60603566666667;6.87061145911589;N ;104.194737850591;T ;NaN;NaN;0.448263890426635;0;A  ;A  
